Model selection results for subset: 85df74e58e46141812aed25791f7cae3
Subset alignment stored here: ./analysis/phylofiles/85df74e58e46141812aed25791f7cae3.phy
This subset contains the following data_blocks: ATP9
Number of columns in subset: 80
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
RTREV+I+G       | 2               | -812.579        | 1629.31          | 1629.16         | 1633.92        
BLOSUM62+I+G    | 2               | -812.597        | 1629.35          | 1629.19         | 1633.96        
PMB+G           | 1               | -814.107        | 1630.26          | 1630.21         | 1632.6         
HIVB+I+G+F      | 21              | -786.229        | 1630.39          | 1614.46         | 1664.48        
FLU+I+G+F       | 21              | -786.532        | 1630.99          | 1615.06         | 1665.09        
PMB+I+G         | 2               | -814.107        | 1632.37          | 1632.21         | 1636.98        
WAG             | 0               | -816.213        | 1632.43          | 1632.43         | 1632.43        
DAYHOFF         | 0               | -816.23         | 1632.46          | 1632.46         | 1632.46        
DCMUT           | 0               | -816.361        | 1632.72          | 1632.72         | 1632.72        
MTMAM+G+F       | 20              | -789.484        | 1633.21          | 1618.97         | 1666.61        
MTART           | 0               | -817.253        | 1634.51          | 1634.51         | 1634.51        
BLOSUM62+G+F    | 20              | -790.476        | 1635.19          | 1620.95         | 1668.59        
MTMAM+I+G+F     | 21              | -789.484        | 1636.9           | 1620.97         | 1670.99        
MTREV           | 0               | -819.135        | 1638.27          | 1638.27         | 1638.27        
BLOSUM62+I+G+F  | 21              | -790.476        | 1638.88          | 1622.95         | 1672.98        
VT              | 0               | -819.59         | 1639.18          | 1639.18         | 1639.18        
MTMAM+G         | 1               | -819.107        | 1640.27          | 1640.21         | 1642.6         
MTMAM+I+G       | 2               | -819.108        | 1642.37          | 1642.22         | 1646.98        
PMB+G+F         | 20              | -794.249        | 1642.74          | 1628.5          | 1676.14        
FLU+G           | 1               | -821.893        | 1645.84          | 1645.79         | 1648.17        
PMB+I+G+F       | 21              | -794.249        | 1646.43          | 1630.5          | 1680.52        
BLOSUM62        | 0               | -823.526        | 1647.05          | 1647.05         | 1647.05        
RTREV           | 0               | -823.59         | 1647.18          | 1647.18         | 1647.18        
HIVB+G          | 1               | -822.815        | 1647.68          | 1647.63         | 1650.01        
FLU+I+G         | 2               | -821.893        | 1647.94          | 1647.79         | 1652.55        
HIVB+I+G        | 2               | -822.815        | 1649.79          | 1649.63         | 1654.39        
PMB             | 0               | -825.24         | 1650.48          | 1650.48         | 1650.48        
MTZOA+F         | 19              | -801.032        | 1652.73          | 1640.06         | 1685.32        
HIVW+G+F        | 20              | -800.46         | 1655.16          | 1640.92         | 1688.56        
HIVW+I+G+F      | 21              | -800.46         | 1658.85          | 1642.92         | 1692.94        
STMTREV+G+F     | 20              | -802.37         | 1658.98          | 1644.74         | 1692.38        
STMTREV+I+G+F   | 21              | -802.37         | 1662.67          | 1646.74         | 1696.76        
CPREV+F         | 19              | -809.57         | 1669.81          | 1657.14         | 1702.4         
LG+F            | 19              | -809.718        | 1670.1           | 1657.44         | 1702.69        
HIVB            | 0               | -836.403        | 1672.81          | 1672.81         | 1672.81        
FLU             | 0               | -836.459        | 1672.92          | 1672.92         | 1672.92        
STMTREV+G       | 1               | -835.533        | 1673.12          | 1673.07         | 1675.45        
MTMAM           | 0               | -836.72         | 1673.44          | 1673.44         | 1673.44        
STMTREV+I+G     | 2               | -835.534        | 1675.22          | 1675.07         | 1679.83        
JTTDCMUT+F      | 19              | -813.371        | 1677.41          | 1664.74         | 1710.0         
JTT+F           | 19              | -813.894        | 1678.45          | 1665.79         | 1711.05        
WAG+F           | 19              | -816.213        | 1683.09          | 1670.43         | 1715.69        
DAYHOFF+F       | 19              | -816.23         | 1683.13          | 1670.46         | 1715.72        
DCMUT+F         | 19              | -816.361        | 1683.39          | 1670.72         | 1715.98        
MTART+F         | 19              | -817.253        | 1685.17          | 1672.51         | 1717.76        
MTREV+F         | 19              | -819.135        | 1688.94          | 1676.27         | 1721.53        
VT+F            | 19              | -819.59         | 1689.85          | 1677.18         | 1722.44        
BLOSUM62+F      | 19              | -823.526        | 1697.72          | 1685.05         | 1730.31        
RTREV+F         | 19              | -823.59         | 1697.85          | 1685.18         | 1730.44        
PMB+F           | 19              | -825.24         | 1701.15          | 1688.48         | 1733.74        
STMTREV         | 0               | -852.275        | 1704.55          | 1704.55         | 1704.55        
HIVW+G          | 1               | -854.253        | 1710.56          | 1710.51         | 1712.89        
HIVW+I+G        | 2               | -854.253        | 1712.66          | 1712.51         | 1717.27        
HIVB+F          | 19              | -836.403        | 1723.47          | 1710.81         | 1756.06        
FLU+F           | 19              | -836.459        | 1723.58          | 1710.92         | 1756.18        
MTMAM+F         | 19              | -836.72         | 1724.11          | 1711.44         | 1756.7         
HIVW            | 0               | -873.421        | 1746.84          | 1746.84         | 1746.84        
STMTREV+F       | 19              | -852.275        | 1755.22          | 1742.55         | 1787.81        
HIVW+F          | 19              | -873.421        | 1797.51          | 1784.84         | 1830.1         
