Model selection results for subset: 8ad3c0e0056fabfd9b1a73ea25ca632f
Subset alignment stored here: ./analysis/phylofiles/8ad3c0e0056fabfd9b1a73ea25ca632f.phy
This subset contains the following data_blocks: COX1
Number of columns in subset: 660
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTART+G+F       | 20              | -12631.4        | 25304.2          | 25302.8         | 25392.7        
MTART+I+G+F     | 21              | -12631.1        | 25305.7          | 25304.3         | 25398.6        
BLOSUM62+I+G+F  | 21              | -12645.8        | 25335.1          | 25333.6         | 25428.0        
BLOSUM62+G+F    | 20              | -12647.7        | 25336.6          | 25335.3         | 25425.2        
MTART+G         | 1               | -12674.0        | 25349.9          | 25349.9         | 25354.4        
MTART+I+G       | 2               | -12673.6        | 25351.2          | 25351.2         | 25360.2        
FLU+I+G+F       | 21              | -12656.0        | 25355.5          | 25354.1         | 25448.4        
FLU+G+F         | 20              | -12657.3        | 25356.0          | 25354.7         | 25444.5        
PMB+I+G+F       | 21              | -12674.6        | 25392.6          | 25391.1         | 25485.5        
PMB+G+F         | 20              | -12676.6        | 25394.6          | 25393.3         | 25483.1        
JTT+I+G         | 2               | -12730.3        | 25464.6          | 25464.5         | 25473.5        
JTT+G           | 1               | -12731.6        | 25465.3          | 25465.3         | 25469.8        
JTTDCMUT+I+G    | 2               | -12736.9        | 25477.8          | 25477.8         | 25486.8        
JTTDCMUT+G      | 1               | -12738.2        | 25478.5          | 25478.4         | 25482.9        
WAG+I+G         | 2               | -12739.4        | 25482.9          | 25482.8         | 25491.8        
WAG+G           | 1               | -12741.9        | 25485.8          | 25485.8         | 25490.3        
VT+I+G          | 2               | -12741.2        | 25486.3          | 25486.3         | 25495.3        
VT+G            | 1               | -12743.5        | 25489.1          | 25489.1         | 25493.6        
BLOSUM62+I+G    | 2               | -12768.7        | 25541.4          | 25541.4         | 25550.3        
BLOSUM62+G      | 1               | -12771.4        | 25544.8          | 25544.8         | 25549.3        
PMB+I+G         | 2               | -12772.3        | 25548.7          | 25548.7         | 25557.6        
PMB+G           | 1               | -12775.2        | 25552.4          | 25552.4         | 25556.9        
RTREV+I+G       | 2               | -12780.2        | 25564.4          | 25564.4         | 25573.4        
RTREV+G         | 1               | -12782.1        | 25566.3          | 25566.3         | 25570.8        
MTREV+G         | 1               | -12795.7        | 25593.3          | 25593.3         | 25597.8        
MTREV+I+G       | 2               | -12795.7        | 25595.3          | 25595.3         | 25604.3        
FLU+I+G         | 2               | -12811.5        | 25627.1          | 25627.1         | 25636.1        
FLU+G           | 1               | -12813.1        | 25628.2          | 25628.2         | 25632.7        
HIVB+G+F        | 20              | -12810.9        | 25663.0          | 25661.7         | 25751.6        
HIVB+I+G+F      | 21              | -12810.4        | 25664.3          | 25662.8         | 25757.2        
MTMAM+G+F       | 20              | -12841.0        | 25723.4          | 25722.1         | 25811.9        
MTMAM+I+G+F     | 21              | -12840.9        | 25725.3          | 25723.9         | 25818.2        
DAYHOFF+I+G     | 2               | -12894.4        | 25792.7          | 25792.7         | 25801.7        
DCMUT+I+G       | 2               | -12895.1        | 25794.3          | 25794.3         | 25803.3        
DAYHOFF+G       | 1               | -12896.3        | 25794.7          | 25794.7         | 25799.2        
DCMUT+G         | 1               | -12897.1        | 25796.2          | 25796.2         | 25800.7        
MTMAM+I+G       | 2               | -12954.6        | 25913.2          | 25913.1         | 25922.1        
MTMAM+G         | 1               | -12957.8        | 25917.6          | 25917.6         | 25922.1        
HIVB+I+G        | 2               | -13014.6        | 26033.3          | 26033.3         | 26042.3        
HIVB+G          | 1               | -13016.5        | 26035.0          | 26035.0         | 26039.5        
HIVW+G+F        | 20              | -13083.4        | 26208.2          | 26206.9         | 26296.7        
HIVW+I+G+F      | 21              | -13082.5        | 26208.5          | 26207.1         | 26301.4        
STMTREV+I+G     | 2               | -13167.4        | 26338.8          | 26338.8         | 26347.8        
STMTREV+G       | 1               | -13169.3        | 26340.6          | 26340.6         | 26345.1        
STMTREV+I+G+F   | 21              | -13160.2        | 26363.9          | 26362.5         | 26456.8        
STMTREV+G+F     | 20              | -13161.7        | 26364.7          | 26363.4         | 26453.2        
HIVW+I+G        | 2               | -13406.0        | 26816.0          | 26816.0         | 26825.0        
HIVW+G          | 1               | -13410.4        | 26822.8          | 26822.8         | 26827.2        
CPREV           | 0               | -13622.0        | 27243.9          | 27243.9         | 27243.9        
CPREV+F         | 19              | -13622.0        | 27283.1          | 27281.9         | 27367.3        
LG              | 0               | -13705.3        | 27410.6          | 27410.6         | 27410.6        
MTZOA           | 0               | -13716.3        | 27432.6          | 27432.6         | 27432.6        
LG+F            | 19              | -13705.3        | 27449.8          | 27448.6         | 27533.9        
MTZOA+F         | 19              | -13716.3        | 27471.8          | 27470.6         | 27555.9        
BLOSUM62        | 0               | -13750.4        | 27500.8          | 27500.8         | 27500.8        
PMB             | 0               | -13756.8        | 27513.6          | 27513.6         | 27513.6        
VT              | 0               | -13759.0        | 27518.0          | 27518.0         | 27518.0        
WAG             | 0               | -13766.8        | 27533.5          | 27533.5         | 27533.5        
BLOSUM62+F      | 19              | -13750.4        | 27540.0          | 27538.8         | 27624.2        
PMB+F           | 19              | -13756.8        | 27552.8          | 27551.6         | 27636.9        
VT+F            | 19              | -13759.0        | 27557.2          | 27556.0         | 27641.4        
WAG+F           | 19              | -13766.8        | 27572.7          | 27571.5         | 27656.9        
JTT             | 0               | -13817.6        | 27635.1          | 27635.1         | 27635.1        
JTTDCMUT        | 0               | -13821.7        | 27643.3          | 27643.3         | 27643.3        
JTT+F           | 19              | -13817.6        | 27674.3          | 27673.1         | 27758.5        
JTTDCMUT+F      | 19              | -13821.7        | 27682.5          | 27681.3         | 27766.7        
RTREV           | 0               | -13853.3        | 27706.6          | 27706.6         | 27706.6        
RTREV+F         | 19              | -13853.3        | 27745.8          | 27744.6         | 27830.0        
MTREV           | 0               | -13962.5        | 27925.0          | 27925.0         | 27925.0        
MTART           | 0               | -13969.7        | 27939.3          | 27939.3         | 27939.3        
FLU             | 0               | -13972.4        | 27944.8          | 27944.8         | 27944.8        
MTREV+F         | 19              | -13962.5        | 27964.2          | 27963.0         | 28048.3        
MTART+F         | 19              | -13969.7        | 27978.5          | 27977.3         | 28062.7        
FLU+F           | 19              | -13972.4        | 27984.0          | 27982.8         | 28068.1        
DCMUT           | 0               | -13999.8        | 27999.7          | 27999.7         | 27999.7        
DAYHOFF         | 0               | -14000.7        | 28001.5          | 28001.5         | 28001.5        
DCMUT+F         | 19              | -13999.8        | 28038.8          | 28037.7         | 28123.0        
DAYHOFF+F       | 19              | -14000.7        | 28040.6          | 28039.5         | 28124.8        
HIVB            | 0               | -14276.3        | 28552.6          | 28552.6         | 28552.6        
HIVB+F          | 19              | -14276.3        | 28591.7          | 28590.6         | 28675.9        
MTMAM           | 0               | -14347.4        | 28694.8          | 28694.8         | 28694.8        
MTMAM+F         | 19              | -14347.4        | 28734.0          | 28732.8         | 28818.1        
STMTREV         | 0               | -14509.2        | 29018.5          | 29018.5         | 29018.5        
STMTREV+F       | 19              | -14509.2        | 29057.7          | 29056.5         | 29141.8        
HIVW            | 0               | -14730.4        | 29460.8          | 29460.8         | 29460.8        
HIVW+F          | 19              | -14730.4        | 29500.0          | 29498.8         | 29584.2        
