Model selection results for subset: 64b158d7c0f8481b7e3dd27821ba8fba
Subset alignment stored here: ./analysis/phylofiles/64b158d7c0f8481b7e3dd27821ba8fba.phy
This subset contains the following data_blocks: COX2, NAD3, NAD4
Number of columns in subset: 1309
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
FLU+G+F         | 20              | -34608.7        | 69258.0          | 69257.4         | 69360.9        
HIVB+I+G+F      | 21              | -34636.6        | 69315.8          | 69315.1         | 69423.8        
HIVB+G+F        | 20              | -34640.2        | 69321.0          | 69320.4         | 69423.9        
CPREV+I+G       | 2               | -34753.1        | 69510.2          | 69510.2         | 69520.6        
CPREV+G         | 1               | -34759.0        | 69520.0          | 69520.0         | 69525.2        
MTART+I+G       | 2               | -34813.0        | 69630.0          | 69630.0         | 69640.3        
MTART+G         | 1               | -34816.2        | 69634.5          | 69634.5         | 69639.6        
MTMAM+I+G+F     | 21              | -34849.2        | 69741.2          | 69740.5         | 69849.2        
MTMAM+G+F       | 20              | -34858.0        | 69756.6          | 69756.0         | 69859.5        
LG+I+G          | 2               | -34895.7        | 69795.4          | 69795.4         | 69805.8        
LG+G            | 1               | -34901.4        | 69804.7          | 69804.7         | 69809.9        
LG4X            | 6               | -35010.4        | 70033.0          | 70032.9         | 70064.0        
LG4M+G          | 1               | -35089.4        | 70180.7          | 70180.7         | 70185.9        
VT+I+G          | 2               | -35150.6        | 70305.2          | 70305.2         | 70315.6        
VT+G            | 1               | -35157.6        | 70317.2          | 70317.2         | 70322.4        
JTT+I+G         | 2               | -35171.8        | 70347.7          | 70347.7         | 70358.0        
MTREV+I+G       | 2               | -35175.8        | 70355.7          | 70355.7         | 70366.0        
MTREV+G         | 1               | -35179.6        | 70361.3          | 70361.3         | 70366.5        
JTT+G           | 1               | -35181.3        | 70364.7          | 70364.7         | 70369.9        
JTTDCMUT+I+G    | 2               | -35192.8        | 70389.6          | 70389.6         | 70400.0        
JTTDCMUT+G      | 1               | -35202.3        | 70406.6          | 70406.6         | 70411.7        
BLOSUM62+I+G    | 2               | -35204.0        | 70411.9          | 70411.9         | 70422.3        
BLOSUM62+G      | 1               | -35207.3        | 70416.5          | 70416.5         | 70421.7        
PMB+I+G         | 2               | -35215.3        | 70434.7          | 70434.7         | 70445.0        
PMB+G           | 1               | -35218.0        | 70438.1          | 70438.1         | 70443.2        
FLU+I+G         | 2               | -35265.5        | 70535.1          | 70535.1         | 70545.4        
FLU+G           | 1               | -35271.1        | 70544.1          | 70544.1         | 70549.3        
WAG+I+G         | 2               | -35287.9        | 70579.9          | 70579.9         | 70590.2        
WAG+G           | 1               | -35294.5        | 70590.9          | 70590.9         | 70596.1        
RTREV+I+G       | 2               | -35368.4        | 70740.7          | 70740.7         | 70751.1        
RTREV+G         | 1               | -35375.7        | 70753.4          | 70753.4         | 70758.6        
HIVW+I+G+F      | 21              | -35404.8        | 70852.3          | 70851.6         | 70960.3        
HIVW+G+F        | 20              | -35419.4        | 70879.4          | 70878.8         | 70982.3        
HIVB+I+G        | 2               | -35464.2        | 70932.3          | 70932.3         | 70942.7        
HIVB+G          | 1               | -35473.2        | 70948.5          | 70948.5         | 70953.7        
STMTREV+I+G+F   | 21              | -35475.0        | 70992.7          | 70992.0         | 71100.7        
STMTREV+G+F     | 20              | -35496.0        | 71032.7          | 71032.1         | 71135.6        
MTMAM+I+G       | 2               | -35575.6        | 71155.3          | 71155.3         | 71165.6        
MTMAM+G         | 1               | -35581.7        | 71165.5          | 71165.5         | 71170.7        
STMTREV+I+G     | 2               | -35759.3        | 71522.6          | 71522.6         | 71533.0        
STMTREV+G       | 1               | -35781.2        | 71564.3          | 71564.3         | 71569.5        
DAYHOFF+I+G     | 2               | -35781.3        | 71566.7          | 71566.7         | 71577.0        
DCMUT+I+G       | 2               | -35783.8        | 71571.6          | 71571.6         | 71582.0        
DAYHOFF+G       | 1               | -35791.1        | 71584.1          | 71584.1         | 71589.3        
DCMUT+G         | 1               | -35793.5        | 71589.0          | 71589.0         | 71594.2        
HIVW+I+G        | 2               | -36419.2        | 72842.4          | 72842.4         | 72852.8        
HIVW+G          | 1               | -36439.4        | 72880.8          | 72880.8         | 72886.0        
CPREV           | 0               | -36536.2        | 73072.5          | 73072.5         | 73072.5        
CPREV+F         | 19              | -36536.2        | 73111.1          | 73110.5         | 73208.8        
MTZOA           | 0               | -36708.1        | 73416.2          | 73416.2         | 73416.2        
MTZOA+F         | 19              | -36708.1        | 73454.8          | 73454.2         | 73552.5        
LG              | 0               | -36835.9        | 73671.8          | 73671.8         | 73671.8        
LG+F            | 19              | -36835.9        | 73710.4          | 73709.8         | 73808.2        
VT              | 0               | -36889.3        | 73778.5          | 73778.5         | 73778.5        
PMB             | 0               | -36896.0        | 73792.0          | 73792.0         | 73792.0        
VT+F            | 19              | -36889.3        | 73817.1          | 73816.5         | 73914.9        
PMB+F           | 19              | -36896.0        | 73830.6          | 73830.0         | 73928.4        
BLOSUM62        | 0               | -36946.2        | 73892.4          | 73892.4         | 73892.4        
BLOSUM62+F      | 19              | -36946.2        | 73931.0          | 73930.4         | 74028.8        
JTT             | 0               | -37044.5        | 74089.0          | 74089.0         | 74089.0        
JTTDCMUT        | 0               | -37062.9        | 74125.8          | 74125.8         | 74125.8        
JTT+F           | 19              | -37044.5        | 74127.6          | 74127.0         | 74225.4        
JTTDCMUT+F      | 19              | -37062.9        | 74164.4          | 74163.8         | 74262.1        
WAG             | 0               | -37088.4        | 74176.7          | 74176.7         | 74176.7        
WAG+F           | 19              | -37088.4        | 74215.3          | 74214.7         | 74313.1        
MTREV           | 0               | -37127.9        | 74255.8          | 74255.8         | 74255.8        
MTREV+F         | 19              | -37127.9        | 74294.4          | 74293.8         | 74392.2        
MTART           | 0               | -37178.1        | 74356.2          | 74356.2         | 74356.2        
MTART+F         | 19              | -37178.1        | 74394.8          | 74394.2         | 74492.6        
RTREV           | 0               | -37316.5        | 74633.0          | 74633.0         | 74633.0        
RTREV+F         | 19              | -37316.5        | 74671.6          | 74671.0         | 74769.4        
FLU             | 0               | -37376.4        | 74752.9          | 74752.9         | 74752.9        
FLU+F           | 19              | -37376.4        | 74791.5          | 74790.9         | 74889.3        
HIVB            | 0               | -37584.4        | 75168.8          | 75168.8         | 75168.8        
HIVB+F          | 19              | -37584.4        | 75207.4          | 75206.8         | 75305.2        
DCMUT           | 0               | -37709.3        | 75418.5          | 75418.5         | 75418.5        
DAYHOFF         | 0               | -37711.2        | 75422.5          | 75422.5         | 75422.5        
DCMUT+F         | 19              | -37709.3        | 75457.1          | 75456.5         | 75554.9        
DAYHOFF+F       | 19              | -37711.2        | 75461.1          | 75460.5         | 75558.9        
MTMAM           | 0               | -38145.9        | 76291.8          | 76291.8         | 76291.8        
MTMAM+F         | 19              | -38145.9        | 76330.4          | 76329.8         | 76428.2        
STMTREV         | 0               | -38339.9        | 76679.7          | 76679.7         | 76679.7        
STMTREV+F       | 19              | -38339.9        | 76718.3          | 76717.7         | 76816.1        
HIVW            | 0               | -38836.4        | 77672.9          | 77672.9         | 77672.9        
HIVW+F          | 19              | -38836.4        | 77711.4          | 77710.9         | 77809.2        
