method,pi,piN,piNpiS,piS,seqname,slice_start,slice_stop,type,piNorS,piNSsite
NG86,0.0,0.0,0.0,0.0,ND3,97,98,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,98,99,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,99,100,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,100,101,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,101,102,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,102,103,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,103,104,observed,piS,103.0
NG86,0.0,0.0,0.0,0.0,ND3,104,105,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,105,106,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,106,107,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,107,108,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,108,109,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,109,110,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,110,111,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,111,112,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,112,113,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,113,114,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,114,115,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,115,116,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,116,117,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,117,118,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,118,119,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,119,120,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,120,121,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,121,122,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,122,123,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,123,124,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,0,1,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,1,2,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,2,3,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,3,4,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,4,5,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,5,6,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,6,7,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,7,8,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,8,9,observed,piS,8.0
NG86,0.0,0.0,0.0,0.0,CYTB,9,10,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,10,11,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,11,12,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,12,13,observed,piS,12.0
NG86,0.0,0.0,0.0,0.0,CYTB,13,14,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,14,15,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,15,16,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,16,17,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,17,18,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,18,19,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,19,20,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,20,21,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,21,22,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,22,23,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,23,24,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,24,25,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,25,26,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,26,27,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,27,28,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,28,29,observed,piS,28.0
NG86,0.0,0.0,0.0,0.0,CYTB,29,30,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,30,31,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,31,32,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,32,33,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,33,34,observed,piS,33.0
NG86,0.0,0.0,0.0,0.0,CYTB,34,35,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,35,36,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,36,37,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,37,38,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,38,39,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,39,40,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,40,41,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,41,42,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,42,43,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,43,44,observed,piS,43.0
NG86,0.0,0.0,0.0,0.0,CYTB,44,45,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,45,46,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,46,47,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,47,48,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,48,49,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,49,50,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,50,51,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,51,52,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,52,53,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,53,54,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,54,55,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,55,56,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,56,57,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,57,58,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,58,59,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,59,60,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,60,61,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,61,62,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,62,63,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,63,64,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,64,65,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,65,66,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,66,67,observed,piS,66.0
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,67,68,observed,piS,67.0
NG86,0.0,0.0,0.0,0.0,CYTB,68,69,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,69,70,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,70,71,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,71,72,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,72,73,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,73,74,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,74,75,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,75,76,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,76,77,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,77,78,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,78,79,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,79,80,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,80,81,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,81,82,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,82,83,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,83,84,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,84,85,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,85,86,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,86,87,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,87,88,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,88,89,observed,piS,88.0
NG86,0.0,0.0,0.0,0.0,CYTB,89,90,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,90,91,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,91,92,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,92,93,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,93,94,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,94,95,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,95,96,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,96,97,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,97,98,observed,piS,97.0
NG86,0.0,0.0,0.0,0.0,CYTB,98,99,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,99,100,observed,piS,99.0
NG86,0.0,0.0,0.0,0.0,CYTB,100,101,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,101,102,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,102,103,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,103,104,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,104,105,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,105,106,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,106,107,observed,piS,106.0
NG86,0.0,0.0,0.0,0.0,CYTB,107,108,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,108,109,observed,piS,108.0
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,109,110,observed,piS,109.0
NG86,0.0,0.0,0.0,0.0,CYTB,110,111,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,111,112,observed,piS,111.0
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,112,113,observed,piS,112.0
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,113,114,observed,piS,113.0
NG86,0.0,0.0,0.0,0.0,CYTB,114,115,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,115,116,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,116,117,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,117,118,observed,piS,117.0
NG86,0.0,0.0,0.0,0.0,CYTB,118,119,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,119,120,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,120,121,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,121,122,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,122,123,observed,piS,122.0
NG86,0.0,0.0,0.0,0.0,CYTB,123,124,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,124,125,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,125,126,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,126,127,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,127,128,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,128,129,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,129,130,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,130,131,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,131,132,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,132,133,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,133,134,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,134,135,observed,piS,134.0
NG86,0.0,0.0,0.0,0.0,CYTB,135,136,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,136,137,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,137,138,observed,piS,137.0
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,138,139,observed,piS,138.0
NG86,0.1111111111111111,0.0,-0.0,-0.3333333333333333,CYTB,139,140,observed,piS,139.0
NG86,0.0,0.0,0.0,0.0,CYTB,140,141,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,141,142,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,142,143,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,143,144,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,144,145,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,145,146,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,146,147,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,147,148,observed,piS,147.0
NG86,0.0,0.0,0.0,0.0,CYTB,148,149,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,149,150,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,150,151,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,151,152,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,152,153,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,153,154,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,154,155,observed,piS,154.0
NG86,0.0,0.0,0.0,0.0,CYTB,155,156,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,156,157,observed,piS,156.0
NG86,0.0,0.0,0.0,0.0,CYTB,157,158,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,158,159,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,159,160,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,160,161,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,161,162,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,162,163,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,163,164,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,164,165,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,165,166,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,166,167,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,167,168,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,168,169,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,169,170,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,170,171,observed,piS,170.0
NG86,0.0,0.0,0.0,0.0,CYTB,171,172,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,172,173,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,173,174,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,174,175,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,175,176,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,176,177,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,177,178,observed,piS,177.0
NG86,0.0,0.0,0.0,0.0,CYTB,178,179,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,179,180,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,180,181,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,181,182,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,182,183,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,183,184,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,184,185,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,185,186,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,186,187,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,187,188,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,188,189,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,189,190,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,190,191,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,191,192,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,192,193,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,193,194,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,194,195,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,195,196,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,196,197,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,197,198,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,198,199,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,199,200,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,200,201,observed,piS,200.0
NG86,0.0,0.0,0.0,0.0,CYTB,201,202,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,202,203,observed,piS,202.0
NG86,0.0,0.0,0.0,0.0,CYTB,203,204,observed,,
NG86,0.14814814814814814,0.25404668401563224,0.0,0.0,CYTB,204,205,observed,piN,204.0
NG86,0.0,0.0,0.0,0.0,CYTB,205,206,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,206,207,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,207,208,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,208,209,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,209,210,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,210,211,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,211,212,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,212,213,observed,,
NG86,0.14814814814814814,0.23104906018664836,0.0,0.0,CYTB,213,214,observed,piN,213.0
NG86,0.0,0.0,0.0,0.0,CYTB,214,215,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,215,216,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,216,217,observed,piS,216.0
NG86,0.0,0.0,0.0,0.0,CYTB,217,218,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,218,219,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,219,220,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,220,221,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,221,222,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,222,223,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,223,224,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,224,225,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,225,226,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,226,227,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,227,228,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,228,229,observed,piS,228.0
NG86,0.0,0.0,0.0,0.0,CYTB,229,230,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,230,231,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,231,232,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,232,233,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,233,234,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,234,235,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,235,236,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,236,237,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,237,238,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,238,239,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,239,240,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,240,241,observed,piS,240.0
NG86,0.0,0.0,0.0,0.0,CYTB,241,242,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,242,243,observed,piS,242.0
NG86,0.0,0.0,0.0,0.0,CYTB,243,244,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,244,245,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,245,246,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,246,247,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,247,248,observed,piS,247.0
NG86,0.0,0.0,0.0,0.0,CYTB,248,249,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,249,250,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,250,251,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,251,252,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,252,253,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,253,254,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,254,255,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,255,256,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,256,257,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,257,258,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,258,259,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,259,260,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,260,261,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,261,262,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,262,263,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,263,264,observed,,
NG86,0.0,0.0,0.0,0.0,CYTB,264,265,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,CYTB,265,266,observed,piS,265.0
