#analysis: Bf201606
#Total bases:	13339
#Adenine:	3425 (25.7 %)
#Guanine:	1167 ( 8.7 %)
#Cytosine:	1164 ( 8.7 %)
#Thymine:	7583 (56.8 %)
#G+C content(in %):	17.5 %
#A+T content(in %):	82.5 %
#G+A content(in %):	34.4 %
#C+T content(in %):	65.6 %
#G+T content(in %):	65.6 %
#A+C content(in %):	34.4 %
#Average Peak of the spectrum :	0.00055449
Position	Peak
6500	43.379159
6520	47.803536
6540	41.844165
6560	60.531125
6580	43.926343
6600	48.671532
6620	53.117710
6640	48.484102
6660	42.463370
6680	37.672932
6700	37.953877
6720	37.947626
6740	36.748293
6760	28.756442
6780	19.960868
6800	11.041618
6820	14.647221
6840	12.574961
6860	11.481494
6880	10.434990
6900	6.627985
6920	3.252968
6940	2.764246
6960	5.840820
6980	2.548750
7000	5.467731
7020	7.775078
7040	13.638786
7060	15.675971
7080	10.429564
7100	6.691259
7120	16.127747
7140	23.846437
7160	13.574967
7180	13.932876
7200	15.825381
7220	17.135233
7240	14.692138
7260	17.971295
7280	14.516262
7300	13.970781
7320	16.671926
7340	21.504196
7360	37.807418
7380	41.194282
7400	27.991951
7420	33.853530
7440	25.953021
7460	19.876476
7480	19.399108
7500	10.738570
7520	4.437338
7540	2.978937
7560	5.916913
7580	4.030450
7600	8.738925
7620	9.175536
7640	12.371771
7660	13.950026
7680	21.042017
7700	22.150822
7720	19.208514
7740	16.468664
7760	29.162022
7780	23.021179
7800	18.033114
7820	20.039008
7840	15.812028
7860	18.710544
7880	23.102165
7900	35.321244
7920	38.241887
7940	30.140918
7960	32.060688
7980	34.916689
8000	34.687256
8020	33.424756
8040	43.529197
8060	37.959856
8080	24.467193
8100	33.032598
8120	29.536020
8140	37.209274
8160	33.774414
8180	29.009361
8200	25.469716
8220	16.956816
8240	19.944711
8260	16.681679
8280	21.157214
8300	21.495851
8320	14.792084
8340	10.148114
8360	14.181964
8380	12.059178
8400	11.018236
8420	11.654801
8440	6.453965
8460	4.717166
8480	1.512049
8500	2.901260
8520	1.251216
8540	0.555152
8560	1.375278
8580	2.141924
8600	4.365802
8620	4.303497
8640	4.334665
8660	7.696040
8680	6.076380
8700	6.120644
8720	3.411242
8740	4.964235
8760	13.323334
8780	18.383275
8800	27.689829
8820	31.158374
8840	23.222427
8860	29.790825
8880	16.528754
8900	18.982519
8920	19.535249
8940	19.207688
8960	22.704957
8980	11.181341
9000	16.497470
9020	15.958141
9040	14.003720
9060	11.876443
9080	10.305222
9100	10.047345
9120	7.104111
9140	9.379357
9160	14.710123
9180	11.162927
9200	13.352294
9220	20.579201
9240	19.600087
9260	12.371724
9280	30.300706
9300	35.531861
9320	32.835469
9340	40.618630
9360	24.633909
9380	28.451407
9400	34.512922
9420	36.983828
9440	38.473370
9460	45.906807
9480	35.464020
9500	52.829729
9520	42.667645
9540	34.433419
9560	30.774656
9580	20.690864
9600	19.870603
9620	12.982799
9640	11.284360
9660	12.380877
9680	3.209413
9700	8.791159
9720	7.023348
9740	6.968600
9760	5.064398
9780	10.895772
9800	7.994528
9820	11.452822
9840	12.055187
9860	7.908368
9880	9.764525
9900	10.324792
9920	11.862610
9940	12.785055
9960	6.850448
9980	7.940131
10000	6.435056
10020	6.625453
10040	6.959849
10060	6.668643
10080	6.681110
10100	4.743477
10120	2.463843
10140	3.538312
10160	7.599199
10180	3.302475
10200	5.922820
10220	6.622474
10240	2.378599
10260	6.661635
10280	7.023307
10300	3.248013
10320	7.430535
10340	3.117742
10360	7.534511
10380	4.707008
10400	6.726907
10420	22.368583
10440	22.660456
10460	16.677113
10480	25.079310
10500	22.896244
10520	23.554693
10540	31.342802
10560	21.888025
10580	25.523916
10600	15.691575
10620	15.795771
10640	16.460194
10660	14.512020
10680	11.978957
10700	13.031086
10720	8.682239
10740	8.406194
10760	11.430403
10780	12.288938
10800	10.651662
10820	5.712533
10840	17.505737
10860	18.015705
10880	18.826484
10900	13.159894
10920	13.759304
10940	10.125547
10960	11.263522
10980	6.296818
11000	13.024178
11020	12.844539
11040	13.856154
11060	17.141475
11080	17.236645
11100	21.074249
11120	21.535725
11140	26.372395
11160	17.534235
11180	14.381082
11200	16.569796
11220	20.204247
11240	14.039029
11260	21.086444
11280	14.600935
11300	16.662999
11320	8.987335
11340	19.462553
11360	12.999520
11380	10.785430
11400	11.581148
11420	15.202402
11440	14.330532
11460	12.236816
11480	18.977532
11500	18.726093
11520	31.232218
11540	29.884688
11560	34.300311
11580	34.596361
11600	27.838209
11620	20.317315
11640	16.635560
11660	8.371450
11680	6.753184
11700	6.165560
11720	12.405275
11740	8.442912
11760	11.690057
11780	14.847797
11800	11.654723
11820	16.940316
11840	33.761796
11860	47.998680
11880	43.590201
11900	26.358946
11920	23.780597
11940	26.191708
11960	28.712816
11980	16.775988
12000	13.416160
12020	21.656049
12040	15.315254
12060	14.750615
12080	14.689864
12100	15.185159
12120	14.435737
12140	12.533599
12160	8.968422
12180	13.618633
12200	18.617837
12220	17.101910
12240	23.108970
12260	22.421256
12280	23.444451
12300	25.931473
12320	19.243984
12340	25.069607
12360	38.183181
12380	26.198402
12400	36.119013
12420	22.010093
12440	19.584720
12460	20.718657
12480	25.663409
12500	15.343885
12520	15.082059
12540	9.863261
12560	7.145527
12580	6.820409
12600	17.494513
12620	9.940263
12640	11.149892
12660	15.594470
12680	11.360910
12700	8.265902
12720	13.463105
12740	13.117734
12760	8.566285
12780	10.003635
12800	12.957050
12820	14.328640
12840	11.078470
12860	15.337088
12880	14.938444
12900	27.651009
12920	29.428663
12940	26.228481
12960	50.598426
12980	56.622546
13000	42.959364
13020	68.673822
